doc_id,text,category_1,category_2,sentiment
1,Trump's presidency has been tattered with scandal after scandal and corruption. Our weak and ineffective represenatives in goverment have abdicated their duty to impeach him.,1,none,Negative
2,"My machine learning course has been really enjoyable since we delve deep into the maths of it all including backpropagation. Even some of the simpler things like normilzation, svm, and tree methods have been cool to learn about.",2,none,Positive
3,"The plot of the final season of The Boys has been disappointing as it lacks meaningful pacing. Additonally the dialogue between Sage and Frecnchie was trite, relying on bog standard tropes which feels out of place for a show that pushes boundaries.",3,none,Negative
4,"I enjoy getting learning about strength training. Understanding macros. rpe, and progressive overload signficantly improved my results.",4,none,Positive
5,"It's concerning our government is partnering with Palantir. Articles have reported on potential risks of their software being used for domestic surveillance. If that were to happen, that'd be a massive infringment on the public's rights. The scale at which they'd be able to scrape, aggregate, and prceisely target dissidents would be unheard of.",1,2,Negative
6,Modern workout apps are excellent in how they blend a seemless UX with analysis and statistics. Being able to track your fitness journey like exercise and then visualize progress overtime is really satisfying. Additionally they support serveral modalities which helps with longevity and sustainability. Their cross-platofrm deployment ensure esuers can track their hypertrophy no matter what.,2,4,Positive
7,Democrats will elect a strong candidate in 2028. They will need to be a visionary running on reform and accountability to restore the nation's integrity.,1,none,Positive
8,"Viewing a series for entertainment depends on software over a stable network. While latency and throughput are technical backend or stack concerns, the viewer focuses on the narrative, symbolism, fable, and biography.",2,3,Neutral
9,"The machine system utilizes background processing and custom logic within the app settings. It monitors the home pantry to catalog stock, check appliances, and scan every cabinet for a suitable cuisine.",2,5,Neutral
10,"The mayor's new reform ordinance updates municipality legislation for all constituents. It focuses on medical rehabilitation and therapy for any major injury by incorporating modern orthopedics, biomechanics, and kinesiology.",1,4,Neutral
11,I want to become mayor of Riverside. My ballots can be located in all Target bathrooms and I will advocte for better air conditioning.,1,none,Neutral
12,My python assignment would not run. I kept checking the terminal and notebook and it was so frustrating.,2,none,Negative
13,I listened to the song The One That Got Away at the gym. I had the song on repeat because the chorus and Katy's verse is peak.,3,none,Positive
14,My health has has improved lately. I started taking supplements and tracking my calories.,4,none,Positive
15,My dog Lucky naps before I get back from school. He curls up by his blanket and waits for me to feed him kibble.,5,none,Neutral
16,"Instead of hiring real people for my mayoral campaign, I used Claude agents as my volunteers and staff. The software helps but I have no one to place physical signs",1,2,Neutral
17,"The horror movie Obsession is so good because the actors did a great job. My heartbeat was fast from the adrenaline, so I could not sleep afterwards.",3,4,Positive
18,I pushed my code and somehow made the branch look weird. I ate ramen with chopsticks for lunch while I pretended everything in the repo was fine.,2,5,Neutral
19,The model suggested a recipe using random leftovers in my refridgerator. I saved what it said onto a spreadsheet on my laptop.,2,5,Neutral
20,I watched an episode of an anime while my mom made tomato soup. The remote died before the grilled cheese sandwich was ready so we just kept watching.,3,5,Neutral
21,"Inflation is out of control, caused in part by a president attempting to hide that he is a pedophile. His attempts to control the situation are weak and harmful to our country.",1,none,Negative
22,"I think I will vote for my cat to be president of the USA. At least he will be effective at getting what he wants, which is mostly head pats and treats.",1,5,Positive
23,Frieren: Beyond Journey’s End is an animated show about what it is like to grow older and watch the world change around you.,3,none,Neutral
24,"My cats love to help me program. They get excited when I am successful in catching bugs, but mostly flick their tails and meow while I fix errors in C++.",2,5,Positive
25,"It is strange to me how interconnected the body and mind are. Workouts focus on your physical wellbeing, but they also improve mental clarity.",4,none,Positive
26,"With the economy in shambles, and the problematic stances on immigration, the coverage of the Republican party should be exclusively known as the Guardians of Pedophiles (GOP).",1,none,Negative
27,"Despite getting older, my kitties both still play regularly. They catnap most of the day, but their routine involves plenty of physical stimulation.",4,5,Neutral
28,"Initially, I thought CS 111 would be about coding, software engineering, and recursive algorithms. It was a surprise to find out it was a math class masquerading as Computer Science.",2,none,Neutral
29,"The musician Immortal Technique raps about the concerning trends of the nation, the negative views of many on immigration, and media acting like an agent of the state.",1,3,Negative
30,"One of the hardest parts of having furbabys is watching their stamina deteriorate. When their energy levels become weaker, and they have difficulty with mobility, comes the true test of being a cat/dog caretaker.",4,5,Negative
31,My dog is a small Jack Russell and a chihuahua. She only eats her favorite food at dinner time which is bananas and chicken.,5,none,Neutral
32,"Data Science has always interested me as I've always had an interest in computers and technology. It is exciting to learn about cloud analysis, algorithms, and training models.",2,none,Positive
33,"I do not watch that much TV or read literature often, as I only remember reading Shakespeare, specifically Macbeth. I don't feel a specific way about a certain poem, author, or comedy.",3,none,Neutral
34,"I often feel negative when hearing about current news in the media. The wars over the world, especially in Palestine and Ukraine, make me wish for global peace.",1,none,Negative
35,I used to exercise very often by performing strength training along with walking. Now I feel like my health is more poor than before as I don't take my vitamins such as creatine as well.,4,none,Negative
36,"I do not feel strong emotions when washing tupperware in the kitchen and cleaning grime off the walls. My emotions towards network, hardware, and storage in robotics and school labs are also neutral.",5,2,Neutral
37,"I believe there can be positive changes in the government, the economy, and inflation with the rise in machine learning and automation. Artificial intelligence can be used to help predict the stock market and help the economy.",1,2,Positive
38,"I feel happy walking, running, sprinting, and playing soccer with my dog for exercise. After, we both come home and eat a meal in the kitchen, which usually consists of beef and kiwis.",4,5,Positive
39,"It is frustrating to program when there is a bug in the code and the output is broken, especially in the memory. Debugging leads to mental stress especially with the strain on your fingers and eyes.",2,4,Negative
40,"I feel happy when I have good sleep, high energy, and play basketball and baseball. I feel happy playing with my dog in the yard and cooking dinner in the kitchen for my housemates.",4,5,Positive
41,"My dog's name is Rocky. He loves to stay at home and just enjoy life, play catch, and pets.",5,none,Positive
42,I do not keep up with the news as much as I should. Debates usually annoy me because people don't listen to one another and just argue rather than having a discussion,1,none,Nuetral
43,I loved learning CS in high school with my favorite teacher. He explained how to code with games which made me understand it very well and he made it fun as well.,2,none,Positive
44,"I love going to the gym, it's part of my dailty routine and I feel unaccomplished if I don't go. I love seeing my friends with the same mindeset and goals and trying to be better versions of themselves. ",4,none,Positive
45,Dealing with bugs during test of a feature is the worst because it can either be a single typo or something completely different. Using AI for testing my code is one of the best things I have done because it saves me time.,2,none,Negative
46,"Rocky loves walking with my everyday. We both love flavorfull cooking and we often share meals together. He always brings a smile to my face whenever I am stressed or sad. When he cuddles me, hes always warm because of his fur which is awesome.",5,4,Positive
47,"When I am at the gym training, I love to listen to music and stay focused in. My main artist currently would be The Weeknd. His songs just hit the spot when I need them. I constantly switch between rock, rap and lyrical depending on my mood.",4,3,Positive
48,The war currently going on has major issues on our economy making everything expensive. The statistics clearly show war being a major influence on the public's finances and all their tax money is going straight to that war.,1,2,Negative
49,"Due to the war, food, groceries and simple things are very expensive. As inflation rises, so does our wage which puts businesses in a terrible situation. I try to not get involved in politics, but there should be peace in order for everyone to be happy.",1,5,Nuetral
50,"Me going to the gym everyday is like an algorthm which runs in a loop everyday. If that loop has a bug it won't run as intended and I would need to put it into testing and fix it. So, if I have an injury, I won't be able to to train and I would be in recovery in order to get back to my routine.",2,5,Negative
51,"Her background in classical singing contrasts beautifully with her noisy and experimental music. Her vocal performance glides gracefully between head voice and chest voice, carrying listeners to the edges where emotional excesses break into catharsis.",3,,Positive
52,The rhythm and instrumentation are so bad that it’s like if a mind eating parasite took over the brain of an industrial artist and is slowly gnawing away at their consciousness. The lyricism is incomprehensible word salad that sounds like it's trying way too hard to be deep.,3,,Negative
53,"The novel is told through fragments, with each chapter not including page breaks to convey the sense of fragmentation and double bookkeeping in the mental state of the protagonist. The chapters are not organized in chronological order, leaving the reader adrift, struggling to piece together a coherent narrative, just like the main character. ",3,,Neutral
54,"The most satisfying dessert you could ever hope to cook needs just five ingredients. You might need to go to the store to buy them, but the recipe is wonderful for something so simple to make.",5,,Positive
55,"The poem has lines so long that each stanza becomes like a paragraph, making it frustrating and an utter slog to read. It's almost like prose instead of poetry. It lacks the flow of poetry that demands itself to be spoken, or at least subvocalized, not merely read.",3,,Negative
56,I’m concerned that my cat is sick so I took her to the vet clinic. I explained to the vet that she doesn’t have any energy anymore and is moving more slowly than normal and not eating the food in her bowl. She isn't even using her scratching post or meowing incessantly like she usually does. The vet gave me medication but my cat hates taking medication so I wrapped the pills the vet gave me in cat treats.,4,5,Negative
57,"The movie’s exciting climax is the iconic scene of the character Margot eating the chef’s cheeseburger. Cooking it reminds the chef of his first job at a fast food restaurant where he enjoyed serving people simple food that they enjoy and discovered his passion for culinary arts. Margot's pleasure in eating the cheeseburger is purely aesthetic rather than semiotic or intellectual, and the chef is satisfied that she appreciates his food for what it is, rather than what it represents. Ironically, the cheeseburger becomes a symbol in itself, but in the context of the movie rather than the context of the fictional restaurant.",3,5,Positive
58,"Both the logistic regression and the unsupervised model we programmed confirmed the validity of the blood sugar cutoff for pre-diabetes. Combined with other biometrics like age, BMI, and blood pressure, the model predicted future diagnoses of diabetes in the testing group with 87% recall. This information about what patients are most at risk is important for both doctor and patient.",2,4,Neutral
59,"The second candidate is well liked because he promises to implement effective strategies to end child hunger as a part of his campaign for governor. In a recent interview, he argues for a shared food pantry and free lunch and after-school snacks for schools in low-income neighborhoods. If he is elected, we may start to see actual change instead of false promises, which we desperately need in this economy. For these reasons, I endorse him and I think he will be an excellent governor if he is elected.",1,5,Positive
60,"I do a lot to keep my pet dog healthy, which also helps keep me healthy. I put on his leash and go walking to exercise and release all his energy so he’s not all cooped up in the apartment. I'm mostly sedentary, so walking my dog is a rare chance for me to get some fresh air. We usually play fetch at the park or in the grassy fields outside the apartment complex with his favorite toy if the weather is nice. If the weather is bad, I try to walk him inside, which is harder when my apartment is so small.",4,5,Neutral
61,Recent news reports discussed successful peace treaty and ceasefire negotiations during the current war crisis involving Iran and global government officials.,1,none,Positive
62,"Professors have become overworked and stressed as students report difficulty finding and maintaining jobs due to AI, software automation, and data science changes.",2,none,Negative
63,"Many students watch television shows, read fan fiction, and search for actors on Google as a form of entertainment during their free time.",3,none,Neutral
64,Studies have shown that happier and healthier participants improve sleep when they build an exercise routine and practice mindful eating.,4,none,Positive
65,"It was too late, the owner realized that his dog slipped off the leash and attacked him, causing a serious injury.",5,none,Negative
66,News headlines reported that software engineers use Python and machine learning models on the daily to update public data systems.,1,2,Neutral
67,The students were excited to present new algorithms and machine learning models that classify streaming platforms by the best-performing genre with the highest 5-star reviews.,2,3,Positive
68,"During filming for Mission Impossible, the actor Tom Cruise and actress  Rebecca Ferguson were severely injured after a stunt scene on an airplane went wrong, and were taken to the nearest doctor",3,4,Negative
69,"Many athletes who are runners balance cardio exercise, diet through meal prep by following recipes, and training to maintain their physique to perform in sports.",4,5,Neutral
70,"The local journalist had a pleasant time interviewing the family at the busy new cat cafe serving fresh breakfast, pasteries, and drinks.",5,1,Positive
71,"News, media and article headlines create a concerning and stressful environment during a global crisis. This creates a state of anxiety, exhaustion and helplesness",1,4,negative
72,"During an electoral campaign candidates discuss policy on tax, immigration, war and the economy during a public interview. These interviews provides voters with information about the candidate's position on national issues ",1,none,neutral
73,"A new model uses clustering variables and training data to predict trends in global economic crises, but testing results are disappointing.",2,1,negative
74,A new software system is being developed to use database records and regression analysis to predict future movement  activity and physical recovery levels,2,4,neutral
75,Authors usually draw characters from real life experiences and turn them into multi-dimentional fictional figures which help carry the narrative of the novel forward  ,3,none,neutral
76,Many people prefer to watch series that has a light hearted genre like comedy or fantasy which creates a positive and enjoyable experience,3,none,positive
77,"Recently health and fitness have been a very popular conversation but they are concerning because it is focused on aesthetic goals instead of long term wellness, ignoring important signs like hormonal balance and cardiovascular ",4,none,negative
78,Doctors advise families to improve their health through physical activity and healthy home cooked meals ,4,5,positive
79,Families enjoy cooking meals together in the kitchen while listening to music or watching a comedy series together ,5,3,positive
80,"Pet owners buy a leash, toy, bowl for their dog or cat to keep them happy",5,none,positive
81,"Senators clashed over the new tax reform bill, with no clear vote by the end of the session. While the developers were arguing about migrating to a new cloud infrastructure. ",1,none,neutral
82,"Under government pressure to meet the deadline, the model kept crashing due to a persisting glitch that no one could debug or explain.",2,none,negative
83,"The album got almost no attention at first, but the tracklist went viral through social media. Each track in the album had its own vibe that made a real breakthough and kept it trending for weeks. ",3,none,positive
84,"After a thorough follow-up appointment, the doctor prescribed the patient with an updated prescription, and the patient reported that they were doing much better compared to before.",4,none,positive
85,"The unsupervised dog chewed through the least, and this resulted in a fall that caused a minor injury that put a lot of strain on what was already stressful day, which also created a real hazard. ",5,none,negative
86,"The mayor pushed through another round of budget cuts that left nearby clinics severly underfunded, and many residents in that area no longer have accessible care. ",1,4,negative
87,A journalist wrote a Python script that goes through city records and built a visual that presents the findings. This gave readers useful insights into where the money was going and how it was being utilized. ,1,2,positive
88,"The new series follows a retired athelete who follows a strict recovery reginmen, but the slow pace and constant dragging made it a pretty disappointing watch. However, it was still pretty insightful. ",3,4,neutral
89,"The recommendation algorithm kept making irrelevant suggestions based on a mismatch with the user's actual grocery preference, which was pretty frustrating.",2,5,negative
90,"In the novel, the main character spends most of their evenings reheating leftover rice on the countertop and bickering with their pet on who gets the last bit of it. ",3,5,neutral
91,The local media covered all potential nominees for county representative. ,1,None,Neutral
92,"During their first python exam, the students strruggled converting integers to a float value, and they found it frustrating. ",2,None,Negative
93,"At her first book release, the author promised for the release of a triology, which made fans excited. ",3,None,Postive
94,"To maintian his vitality, the elderly man exercised everyday and did streches every morning. ",4,None,Neutral
95,"The adorable cat, walked over to the neighbor's cottage for brunch, which made them elated. ",5,None,Postive
96,The news bulletin had an announcement about how the new film had poor reviews because of lack luster picturization. ,1,3,Negative
97,The new cybersecurity graduates found that the app meant to record health information was creating bad datasets based on the user.  ,2,4,Negative
98,The doctor recommended daily walks for the dog to improve immunity and reduce the effects of fatigue. ,4,5,Positive
99,"After the server crashed, a technical support staff member was able to fix it, which allowed for the documentary to resume filming. ",2,3,Neutral
100,"The governor teamed up with the local animal shelter to promote adoption of dogs and cats, and he was successful in his efforts. ",1,5,Positive
101,"A successful recipe book includes the ingredients needed to make breakfast, lunch, and dinner recipes.",-1,,
102,"Those in the United States government had a discussion about new policies, laws, and budgets.",-1,,
103,Poor sleep will negate all exercise completed in a day since sleep is crucial for proper recovery.,-1,,
104,The computer science student created an excellent database of the most positvely-rated novels in history.,-1,,
105,The main actor and actress from the disappointing television series got on a news interview to update their viewers about the ongoing issues.,-1,,
106,A popular news article claims that a positive apartment includes a family with at least one happy pet.,-1,,
107,The intern at the local pilates studio made an algorithm to track all the workout classes offered.,-1,,
108,The mayor gave a strong speech protesting the building of a new yoga studio in place of the park.,-1,,
109,The most popular headline from today says that watching enjoyable entertainment while exercising boosts the quality of your workout.,-1,,
110,An author turned data scientist coded a very weak Python program that had a concerning number of bugs in it.,-1,,
111,Bearhack is a health and medicine themed design competition. The third place team made a machine learning model using inference and optimization to monitor patients biometrics status for security risks.,2,3,Neutral
112,"The algorithm showed high accuracy on the training data but suffered from overfitting. The model performed suboptimally on test data, as it was unrelaible at generalizing new data.",2,none,Negative
113,The president's concerning position on tariffs sparked debate across media outlets. Citizens report increased economic stress and hardship as disapproval ratings rise.,1,none,Negative
114,"My pet dog started showing alarming symptoms such as nausea, so we took a trip to the clinic. The veterinarian prescribed medicine, but the dogs reluctance and distress made it a difficult struggle to feed the dog.",4,5,Negative
115,"International tensions escalate as the government announced a blockade at the Strait of Hormuz. Global oil prices increased dramatically, causing serious economic concerns with dire implications.",1,none,Negative
116,The artist Malcolm Todd generated a lot of social media buzz by playing a song from his unreleased album at the UC Riverside Spring Splash concert.,3,none,Neutral
117,Taking your pet dog on daily walks is a great and rewarding exercise. Practicing routine physical activity is beneficial for weight loss along with companionship and bonding.,4,5,Positive
118,Boston Dynamics robot dog uses machine learning to automate data collection of it's physical environment. The system can safely perform dangerous tasks like search and rescure that are hazardous for humans and animals.,2,5,Neutral
119,"The controversial AI generative short form video software Sora failed due to poor user adoption. After its shut down, the social media reaction was mixed since it replaced the human creators entertainment production.",2,3,Negative
120,"In the car, we create a group live playlist that anyone can add great songs. Listening to a wide variety of new genres enriches our music pallete.",3,none,Positive
121,"The current election candidates for California are almost all against a billionaire tax reform, with the exception of one person in the running. ",1,none,Neutral
122,"The AI data centers being built across the world right now are being protested against by a majority of the public, so there needs to have a way to address this issue as it's being received very negatively. Even if it creates jobs, they use a lot of energy and silicon that people need for consumer electronics.",1,2,Negative
123,The KNN algorithm is a great way to determine how information is organized by seeing how the distance between points are related.,2,none,Positive
124,"As AI generated content has gotten better, more companies use it for products which is disappointing when talented digital creators are passed on for a quick but poor production.",2,3,Negative
125,"Almost every story features a main character, but an anthology is a collection of often standalone short stories with multiple protagonists. For example, Love, Death and Robots is a sci-fi anthology series with each story being an episode.",3,none,Neutral
126,"I found Rocky to be a really enjoyable film about boxing. Stallone had an impressive acting performance, and I was really motivated to do cardio or lift while listening to his tune.",3,4,Positive
127,"It can be a bit difficult to get macronutrients like electrolytes or protein, so you have to watch your diet.",4,none,Negative
128,"Walking my dog on is a way I get out of the house and help him spend some energy since he's fat and lazy. It can be an issue if he only gets out if he begs for a treat like a puppy, though.",4,5,Negative
129,Veterinarian visits have been very difficult to schedule especially for my bunny since she's an exotic pet according to some practices.,5,none,Neutral
130,"My favorite recipe used to be a bit hard to make since it was a lot harder to afford with the issue of eggs due to the avian flu crisis, but at least I can support my organic farmers community with other items since they have excellent affordable produce.",1,5,Positive
131,The media is flooded with news about the senator's problematic scandal. He was caught embezzling money from the country's national bank.,1,none,Negative
132,"The engineer continues to train her model in order to produce accurate predictions. Beforehand, she analyzed cleaned her dataset from outliers and missing values.",2,none,Neutral.
133,The actress charms the audience with her role as a princess in the exciting fantasy film. Her beautiful costume dazzled anyone who saw her on screen.,3,none,Positive
134,"Everyday, I start my morning wellness routine with yoga and proper hydration. I love this effective routine because it gives me the energy and staminaI need to take on the day.",4,none,Positive
135,"My cat, Whiskers, is happy when she gets to play. The cute kitty will even wake me up before the sunrise to play with her.  ",5,none,Positive
136,Congress has decided to enforce mandatory nutrition classes for all highschoolers so they can maintain their physical health after moving out. ,1,4,Neutral
137,"This software allows users to input their favorite movie and recieve reccomendations for other movies using machine learning. In this technology, the user's data will be stored to the cloud and given to the model.",2,3,Neutral
138,"The dog's poor health hinders his movement, so his owner must carry him around. The old hound has severe pancreatic cancer.",3,4,Negative
139,"The talented singer attempted to maintain a fitness routine before their gig but the results were poor. Despite his intense core workout, did not get the abs he desired to flaunt for the show.",3,4,Negative
140,The creative author took inspiration for their next novel from their happy little cat. The book is about a feline warrior who saves the world.,3,5,Positive
141,New economic policies incentivize families to cook at home. The economic policies reduce the costs of vegetables.,2,5,Positive
142,An algorithm determines the election results of a mayoral candidate. It predicts that the candidate will lose.,1,2,Neutral
143,The entertainment industry has governmental pressures to provide partisan news coverage. News directors and journalists go on strike to protest the new government policy.,1,3,Negative
144,A headline captures an artists latest scandal. The media continually publicizes the scandal and the artists' latest album does not chart.,1,3,Negative
145,A dog owner and their dog go to the dog park. The dog plays with other dogs in the neighborhood and the owner reports being in a calmer mood.,4,5,Positive
146,"A world renowned conductor is performing a three night symphony. He completes the three performances flawlessly, goes into the office the next day and continues as normal.",3,none,Neutral
147,A local television station is covering a town hall meeting. The town hall meeting covered new town developments and previous agenda items.,1,none,Neutral
148,A news article includes a visualization of Y Company's quarterly growth. The news organization publishes an opinion piece to buy into Y Company's stock price.,1,2,Positive
149,Consistent exercise improved my stamina. It allowed me to keep running and increased my sleep hours.,4,none,Positive
150,A restaurant has been an establishment of City A for 30 years. It has had consistent business over the years.,5,none,Neutral
151,A recent review of the new Malcolm Todd album was highly positive because of his unique rhythm and vocal vibe appeal to the current generation.,3,none,Positive
152,"Exploring the haunted house had me extremely anxious, especially when the basement door slammed shut. I swear I heard a creepy voice whisper from the shadows.",3,none,Negative
153,Walking around the ren faire was fun and it unintentionally gave me a great cardio workout while increasing my daily stride and stamina.,4,none,Positive
154,Cooking a fresh dinner like homemade lasagna is satisfying. It is even more fulfilling when I bake the pasta for my family.,5,none,Positive
155,It's disappointing when a streaming network decides to cancel a TV show after 12 episodes. Low viewership and poor rating is what causes these cancellations.,3,none,Negative
156,"Living in a college apartment comes with many strict housing restrictions. One of the worst rules is a ban on owning pets, even fish and lizards aren't allowed.",5,none,Negative
157,A doctor discovering a patient's sudden heart murmur is a concerning symptom. This condition requires an instant appointment for an echocardiogram at a clinic.,4,none,Negative
158,The classic gothic horror novel titled Dracula features a very dark character. The story successfully establishes a spooky vampire aesthetic.,3,none,Neutral
159,"Edgar Allan Poe wrote a short two-line poem called ""Deep in Earth"" that serves a couplet. He follows this theme by writting it in a rhythmic verse and stanza.",3,none,Neutral
160,I am cleaning the kitchen pantry to organize our food storage once again. I need to sort all wooden shelves and plastic containers today.,2,5,Neutral
161,"War’s song Low rider is a classic, putting to great use many hispanic instruments which makes for a good listening experience. Whenever I hear the song on the radio, I always think of George Lopez jumping on my screen.",3,,Positive
162,"Ever since I went to that party I have been feeling really sick. I think I need to go see a doctor to get some medicine. I really hope its not terminal, and that its cured quickly.",4,,Neutral
163, I really love and miss my dogs at home. I hope that my parents have been feeding them and playing fetch with them. ,5,,Positive
164,Learning how to implement python for visualization has been really stressful for me. I hope the next lab report needs fewer graphs and that I wont be stuck staring at Google Colabs all day.,2,,Negative
165,The recent news reports have been very demeaning. The war has really dampened my mood. I hate hearing about different bombings and inflation.,1,,Negative
166, Statistics and media have always been tied together. One day people will stop being misled by bad visualizations. Hopefully everyone will improve their media literacy as well as analytical skills.,1,2,Neutral
167,I love watching Paw Patrol at its regularly scheduled showtimes. My Favorite character is the german shepard Chase. His role on the show is as a police officer who plays with his doggy pals.,3,5,Positive
168,"I’ve been eating really unhealthy lately. Im just too addicted fried jumbo shrimp tacos, and this buffet near my house always almost puts me in a coma.",4,5,Negative
169,"Sporticus, whose actor was an olympian taught millions the importance of working out and maintaining fitness. He made the show lazy town not lazy.",4,3,Neutral
170,Recently I've been tracking my health data on my apple watch. Its interesting to track daily calories and activities. It provides me with helpful line graphs to better my understanding of my progress.,4,2,Neutral
171,"The president gave a strong, helpful speech on tax reform, and senate approval ratings improved after the public debate.",1,none,Positive
172,"Local journalists report excellent coverage of the election campaign, and a reporter praised the senator's helpful interview.",1,none,Positive
173,"Inflation, a budget crisis, alarming war coverage, and a discouraging senate debate created serious concerns for the government.",1,none,Negative
